"Integrations","没有发现集成"
"Unable to post data to consumer due to an unexpected error","无法将数据发布到消费者由于意外错误"
"Consumer with ID '%1' does not exist.","不存在 id 为 '%1' 的消费者。"
"Invalid token to except","无效的令牌来除外"
"Integration with ID '%1' doesn't exist.","与 ID '%1' 的集成并不存在。"
"A token with consumer ID 0 does not exist","与消费者 ID 0 不存在的令牌"
"The integration you selected asks you to approve access to the following:","您选择的集成要求您确认获得下列:"
"No permissions requested","没有要求的权限"
"Are you sure ?","您是否确定？"
"Are you sure you want to delete this integration? You can't undo this action.","是否确实要删除这种集成?您无法撤消此操作。"
"Please setup or sign in into your 3rd party account to complete setup of this integration.","请安装或登录到您的第三方帐户来完成这种集成的安装程序。"
"Available APIs","可用的 Api"
"Resource Access","资源"
"Custom","自定义"
"All","全部"
"Resources","资源"
"Sorry, something went wrong. Please try again later.","对不起， 出错了，请稍候再试"
"Allow","允许"
"Done","完成"
"OAuth","OAuth"
"Cleanup Settings","清理设置"
"Cleanup Probability","清理概率"
"Expiration Period","到期时间"
"Consumer Settings","消费者设置"
"OAuth consumer credentials HTTP Post maxredirects","OAuth 消费凭据 HTTP Post maxredirects"
"OAuth consumer credentials HTTP Post timeout","OAuth 消费凭据 HTTP Post 超时"
"Integrations Configuration","集成配置"
"Integration configuration file.","集成配置文件。"
"Integrations API Configuration","API 的集成配置"
"Integrations API configuration file.","API 的集成配置文件。"
"No Integrations Found","发现没有集成"
"Status","状态"
