"Back","后退"
"Partial Refund Online","部分退款在线"
"Capture Offline","捕获脱机"
"Partial Capture Offline","局部捕捉离线"
"Refund Offline","离线获取"
"Partial Refund Offline","部分退款离线"
"Payments Functionality Matrix","付款功能矩阵"
"Payment Methods","付款方式"
"Shipping Methods","送货方式"
"Job Code","作业代码"
"Cron Expression","Cron 表达式"
"Run Class","运行类"
"Run Method","运行方法"
"Group Code","组代码"
"All Configurable Cron Jobs","所有可配置的 Cron 作业"
"All Global Cron Jobs","所有全球 Cron 作业"
"Cron Schedules List","Cron 时间表列表"
"Schedule Id","日程计划 Id"
"Status","状态"
"Created At","创建于"
"Scheduled At","在预定"
"Executed At","在执行"
"Finished At","在完成"
"Core Configurable Cron Jobs","核心配置 Cron 作业"
"Core Global Cron Jobs","核心全球 Cron 作业"
"Cron Schedules by job code","Cron 时间表由作业代码"
"Count","计数"
"Cron Schedules by status code","Cron 时间表的状态代码"
"Status Code","状态代码"
"Custom Configurable Cron Jobs","自定义的可配置 Cron 作业"
"Custom Global Cron Jobs","自定义全球 Cron 作业"
"Errors in Cron Schedules Queue","错误在 Cron 调度队列"
"Error","错误"
"Corrupted Categories Data","Corrupted Categories Data"
"Id","Id"
"Expected Children Count","Expected Children Count"
"Actual Children Count","Actual Children Count"
"Expected Level","Expected Level"
"Actual Level","Actual Level"
"Duplicate Categories By URL Key","Duplicate Categories By URL Key"
"URL key","URL key"
"Store","商店"
"Duplicate Orders By Increment Id","Duplicate Orders By Increment Id"
"Increment Id","Increment Id"
"Customer Id","Customer Id"
"Duplicate Products By SKU","Duplicate Products By SKU"
"SKU","SKU"
"Duplicate Products By URL Key","Duplicate Products By URL Key"
"URL Key","网址"
"Website","网站"
"Duplicate Users By Email","Duplicate Users By Email"
"Email","邮箱"
"Type","类型"
"Parent","上级节点"
"Adminhtml Themes List","Adminhtml 主题列表"
"Frontend Themes List","前端的主题列表"
"Event Name","Event Name"
"Observer Class","Observer Class"
"Method","Method"
"All Admin Events","All Admin Events"
"All Crontab Events","All Crontab Events"
"All Doc Events","All Doc Events"
"All Frontend Events","All Frontend Events"
"All Global events","All Global events"
"All REST Events","All REST Events"
"All SOAP Events","All SOAP Events"
"Core Admin Events","Core Admin Events"
"Core Crontab Events","Core Crontab Events"
"Core Doc Events","Core Doc Events"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Core Global Events"
"Core REST Events","Core REST Events"
"Core SOAP Events","Core SOAP Events"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Custom Crontab Events"
"Custom Doc Events","Custom Doc Events"
"Custom Frontend Events","Custom Frontend Events"
"Custom Global Events","Custom Global Events"
"Custom REST Events","Custom REST Events"
"Custom SOAP Events","Custom SOAP Events"
"Log Files","Log Files"
"File","文件"
"Size","尺寸"
"Log Entries","Log Entries"
"Last Update","最近更新"
"Today's Top Debug Messages","Today's Top Debug Messages"
"Message","信息"
"Last Occurrence","Last Occurrence"
"Today's Top Exception Messages","Today's Top Exception Messages"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Today's Top System Messages"
"Top Debug Messages","Top Debug Messages"
"Top Exception Messages","Top Exception Messages"
"Top System Messages","Top System Messages"
"Store Views List","存储视图列表"
"Stores List","商店列表"
"Root Category","默认商店"
"Default Store View","默认存储视图"
"Websites List","网站列表"
"Is Default","为默认值"
"Default Store","默认存储"
"Websites Tree","网站树"
"There was an error while loading system report data.","加载系统报告数据时出错。"
"General","基本的"
"Environment","环境"
"Cannot save backup. The reason is: Utility lsof not found","Cannot save backup. The reason is: Utility lsof not found"
"Test error","测试错误"
"Error message!","错误消息!"
"User Defined","用户自定义"
"Entity Type Code","实体类型代码"
"Source Model","源模型"
"Backend Model","后端模型"
"Frontend Model","前端模型"
"Show Log","显示日志"
"Delete","删除"
"Delete ""%1""","删除""%1"""
"Are you sure you want to delete a ""%1"" record?","你确定你想要删除""%1""的记录?"
"View","查看"
"Are you sure you wan't to delete a \"%1\" record?","Are you sure you wan't to delete a \"%1\" record?"
"Empty log","空的日志"
"Backup ID: ","备份 ID:"
"Collapse","崩溃"
"Expand","扩大"
" (no data)","(没有数据)"
"Top","返回页首"
"No data","没有数据"
"Data","Data"
"Modules","模块化"
"Logs","Logs"
"Attributes","属性"
"Events","事件"
"Cron","Cron"
"Design","设计"
"Stores","商店"
"Refresh Status","刷新状态"
"New Backup","新的备份"
"Delete items","删除项目"
"Are you sure you want to delete selected item(s)?","你确定你想删除选定的项目?"
"Code Dump","代码转储"
"DB Dump","DB 转储"
"Choose Report Groups","选择报告组"
"New Report","新报告"
"Date Generated","生成日期"
"Report Groups","报告组"
